公司,date,code,TEJ子產業_名稱,Q資產報酬率 (C),Q資產報酬率(A)%,Q資產報酬率(B)%,Q淨值報酬率─稅後,Q淨值報酬率─常續性利益,Q營業毛利率,Q已實現銷貨毛利率,Q營業利益率,Q稅前淨利率,Q稅後淨利率,Q業外收支率,Q常續利益率(稅後),Q員工人數,Q營業費用率,Q現金流量比率,Q有息負債利率,Q稅率 (A)%,Q每股淨值 (B),Q每股淨值 (A),Q每股淨值 (C),Q常續性EPS,Q每股現金流量,Q每股營業額(元),Q每股營業利益(元),Q每股稅前淨利(元),Q每股淨值(F),Q營收成長率,Q毛利成長率,Q已實現銷貨毛利成長率,Q營業利益成長率,Q稅前淨利成長率,Q稅後淨利成長率,Q經常淨利成長率,Q常續性利益成長率(稅後),Q總資產成長率,Q淨值成長率,Q總資產報酬成長率,Q營收變動率,Q營業利益變動率,Q稅後淨利變動率(單季),Q流動比率,Q速動比率,Q利息支出率,Q總負債/總淨值比,Q負債比率,Q淨值 /總資產,Q借款依存度,Q營業利益占實收資本比,Q稅前純益 /實收資本,Q總資產週轉率(次),Q應收帳款週轉率(次),Q應收帳款收現天數,Q存貨週轉率 (次),Q平均售貨天數,Q固定資產週轉率 (次),Q淨值週轉率 (次),Q應付帳款付現天數,Q淨營業週期 (日),Q每人營收,Q每人營業利益,Q每人配備率,Q當季季底股價淨值比,Q當季季底 PSR,季底普通股市值,return
2506 太設,2010-09-30,2506,建設,0.5,0.21,0.4,-0.34,-0.36,20.71,20.71,-7.6,-1.22,26.23,6.38,-1.3,1221,28.3,-5.119999999999999,0.8,0,6.31,6.31,6.31,0.61,-0.74,2.19,-0.17,-0.03,6.31,-14.11,-27.71,-27.71,-797.26,-156.53,49.5,-154.64,-159.08,3.1,9.629999999999999,-0.17,-29.34,-129.02,-4.39,92.86999999999999,16.27,177.76,243.56,70.89,29.11,161.01,-1.59,-0.25,0.08,3.92,23.19,0.19,488.01,0.35,0.28,69.72,441.47999999999996,1259,-96,3684.12,0.57,0.4,3122411,0.05316455696202531
2509 全坤建,2010-09-30,2509,建設,0.06,0.31,0.05,0.61,0,22.58,22.58,-0.92,12.02,80.99000000000001,12.94,0.03,81,23.5,-6.99,0.44,0,20.5,20.5,20.5,1.34,-0.85,1.06,-0.01,0.13,20.5,-71.63,-70.94000000000001,-70.94000000000001,-102.63,-70.85,-61.42,-70.86999999999999,-99.91000000000001,7.38,5.07,-0.84,-60.08,-102.49000000000001,17.43,271.15000000000003,39.75,45.98,101.88,50.47,49.53,69.2,-0.1,1.28,0.03,17.479999999999997,5.21,0.03,2631.07,0.17,0.05,190.84,2445.4300000000003,1988,-18,11738.48,1.14,2.4,3632353,0.018931710615280675
2511 太子,2010-09-30,2511,建設,1.57,1.37,1.54,4.04,3.98,31.04,31.04,13.65,12.9,42.3,-0.76,13.01,2164,17.39,0.98,0.46,0,13.04,13.04,13.04,2.6,0.16,4.06,0.55,0.51,13.02,16.810000000000002,41.8,41.8,-10.360000000000001,-4.22,2213.8900000000003,-1.53,0.45,-4.62,20.72,-0.14,-1.05,-24.29,45.5,126.46000000000001,14.47,17.09,216.96,68.45,31.55,155.20999999999998,5.38,5.08,0.1,6.24,14.58,0.15000000000000002,588.52,0.3,0.31,60.87,542.23,1813,248,6026.78,1.72,1.45,22415108,-0.1788256227758007
2514 龍邦,2010-09-30,2514,建設,-0.66,0.05,-0.68,1.65,-20.13,-790.16,-790.16,-1212,114.16999999999999,-206.42000000000002,1326.1699999999998,-1224.32,8330,421.85,83.13,-0.39,11.92,12.06,12.06,12.06,-7.21,15.5,0.39,-4.69,0.42,12.06,-99.08,-80.48,-80.48,-48.18,-80.47,-123.44000000000001,-81.52,-33.56,14.47,22.2,-0.26,-99.21000000000001,-3034.8500000000004,32.760000000000005,2526.7799999999997,2379.9,-15.42,2635.48,96.34,3.66,67.36,-41.809999999999995,3.94,0,0.25,356.95,24.830000000000002,3.66,0.02,0.02,3.54,357.07,22,-265,1155.73,0.56,0.11,6755238,-0.16029143897996354
2520 冠德,2010-09-30,2520,建設,1.08,0.84,1.04,1.87,2.08,13.96,13.96,7.05,5.59,44.42,-1.46,6.25,467,6.91,-3.4299999999999997,0.47,0,18.7,18.7,18.7,3.56,-0.89,7.03,0.5,0.4,18.7,22.110000000000003,-37.61,-37.61,-55.809999999999995,-64.06,54.54,-63.309999999999995,-59.71,17.38,17.82,-1.1,-26.36,-72.57,14.51,157.70999999999998,21.939999999999998,23.24,153.93,60.62,39.38,110.01,4.9,3.88,0.13,4.03,22.57,0.2,465.12,0.49,0.33,62.77,424.91999999999996,7285,514,15037.28,1.27,0.91,13360702,-0.18898071625344343
2524 京城,2010-09-30,2524,建設,2.7,2.76,2.69,5.16,5.02,32.690000000000005,32.690000000000005,26.95,27.56,57.74,0.61,26.830000000000002,46,5.74,19.36,0.45,0,17.779999999999998,17.779999999999998,17.779999999999998,2.12,2.66,3.24,0.87,0.89,17.78,18.87,43.41,43.41,55.230000000000004,48.65,51.620000000000005,48.58,50.07,12.86,13.04,0.93,10.5,58.27,91.46000000000001,218.76,7.74,6.03,84.63,45.84,54.16,59.32,8.729999999999999,8.93,0.1,21.4,4.25,0.08,1200.29,1.25,0.19,102.7,1101.84,23280,6275,18580.649999999998,1.53,2.67,8977338,0.04704301075268821
2527 宏璟,2010-09-30,2527,建設,0.57,0.41,0.52,0.5,0.51,34.03,34.03,-12.91,28.650000000000002,253.65,41.56,28.36,108,46.94,-19.88,0.44,1.76,17.57,17.57,17.57,0.93,-2.87,0.34,-0.04,0.1,17.57,-84.88,-65.64999999999999,-65.64999999999999,1.95,121.25,432.44,125.2,126.9,16.7,8.58,0.16,-46.36,-105.92,12.48,134.10999999999999,7.96,36.790000000000006,86.04,46.25,53.75,70.03,-0.42000000000000004,0.9400000000000001,0.01,2.9,31.330000000000002,0.02,5957.07,0.1,0.02,66.14,5922.2699999999995,822,-106,7792.81,0.98,7.48,4933085,0.04694048616932108
2528 皇普,2010-09-30,2528,建設,-0.35,-0.4,-0.39,-0.9,-0.9,38.15,38.15,-107.48,-222.29,-792.8,-114.81,-222.29,15,145.63,-0.3,0.73,0,9.65,9.65,9.65,-0.46,-0.01,0.04,-0.04,-0.09,9.65,-98.51,-93.14999999999999,-93.14999999999999,-139.41,-408.53,-101.92,-409.71999999999997,-409.71999999999997,-9.4,16.57,-1.09,317.12,17.89,-38.96,262.76,2.79,-57.83,50.94,33.75,66.25,47.86,-0.43000000000000005,-0.88,0,0.32,281.7,0,46804.810000000005,0.03,0,134.15,46952.36,265,-285,9086.130000000001,2.07,168.85,202e4,-0.19099590723055931
2530 華建,2010-09-30,2530,建設,0.99,2.77,0.94,5.07,1.61,39.48,39.48,25.79,63.37,201.89000000000001,37.58,19.89,38,13.69,-1.94,0.47,1.04,12.639999999999999,12.639999999999999,12.639999999999999,1.1500000000000001,-0.2,1,0.26,0.64,12.64,-19.02,-18.21,-18.21,-27.66,150.46,96.8,155,-38.24,6.06,18.479999999999997,1.54,-28.8,-26.57,45.06,205.73,56.36,6.119999999999999,84.94000000000001,45.93,54.07,62.11,2.56,6.29,0.04,1.31,69.49000000000001,0.04,2126.96,1.83,0.08,16.279999999999998,2180.16,6762,1744,3687.16,1.06,1.84,3470185,0.06474103585657374
2534 宏盛,2010-09-30,2534,建設,0.25,1.05,0.23,1.85,0.29,34.61,34.61,16.74,118.89,651.22,102.14999999999999,18.67,38,17.87,-2.44,0.24,0.47,18.57,18.57,18.57,2.51,-0.3,0.29,0.05,0.34,18.57,-83.47,-88.99000000000001,-88.99000000000001,-94.36,-58.59,93.57,-58.96,-93.53,13.59,15.709999999999999,-1.43,-83.76,-92.61999999999999,22.21,217.12,2.8899999999999997,9.350000000000001,83.14,45.4,54.6,79.3,0.48000000000000004,3.42,0.01,212.94,0.43000000000000005,0.01,12778.230000000001,0.05,0.02,124.35,12654.3,4632,775,85199.79,0.94,3.13,10706063,-0.06427990235964193
2536 宏普,2010-09-30,2536,建設,1.99,2,1.99,3.21,3.19,30.35,30.35,24.23,24.32,76.8,0.09,24.110000000000003,53,6.119999999999999,-12.629999999999999,0.2,0,31.07,31.07,31.07,2,-2.81,4.04,0.98,0.98,31.07,-47.78,-67.95,-67.95,-71.33,-70.73,-52.790000000000006,-70.73,-71.05,-8.72,-3.92,-5.28,-2.5,-30.01,46.339999999999996,221.85000000000002,2.57,1.3800000000000001,71.74000000000001,41.77,58.23,41.61,9.8,9.83,0.08,18.259999999999998,4.98,0.06,1429.95,13.98,0.13,73.63,1361.31,22120,5359,1575.4,1.4,4.1,12611955,-0.23542857142857143
2537 聯上發,2010-09-30,2537,建設,-0.09,-0.12,-0.12,-0.6,-0.61,77.59,77.59,-3185.63,-2968.3900000000003,-8611.49,217.23999999999998,-3011.4900000000002,18,3263.22,-2.13,0.63,0,7.18,7.18,7.18,0.02,-0.28,0,-0.05,-0.05,7.18,-99.94000000000001,-99.63,-99.63,-134.73999999999998,-134.47,-173.52,-134.47,-134.97,84.28,30.810000000000002,-0.82,-99.4,-85.2,-52.6,155.22,9.08,-241.19,177.14,63.92,36.08,146.67,-0.46,-0.43000000000000005,0,0.07,1354.54,0,4703696.67,0.1,0,133778.17,4571273.04,10,-308,102.61,2.24,4.61,1928732,-0.08902077151335298
2538 基泰,2010-09-30,2538,建設,0.83,0.82,0.81,1.61,1.59,27.830000000000002,27.830000000000002,17.97,17.610000000000003,64.83,-0.36,17.4,82,9.860000000000001,2.3099999999999996,0.36,0,14.08,14.08,14.08,1.1600000000000001,0.34,1.25,0.23,0.22,14.08,-57.449999999999996,-50.290000000000006,-50.290000000000006,-49.03,-49.21,-27.36,-49.190000000000005,-49.8,-4.54,4.76,-0.75,-48.71,-49.96,37.290000000000006,187.13,8.65,11.93,105.57,51.35,48.65,46.33,2.25,2.21,0.04,5.64,16.130000000000003,0.04,2431.59,1.29,0.09,74.55,2373.16,5942,1068,4098.429999999999,1.17,2.48,6338125,0.06349206349206354
2539 櫻花建,2010-09-30,2539,建設,0.58,0.56,0.58,0.75,0.75,17.919999999999998,17.919999999999998,7.6899999999999995,8.350000000000001,10.67,0.6599999999999999,8.350000000000001,14,10.229999999999999,-8.25,0.51,0,11.59,11.59,11.59,0.27,-0.23,1.04,0.08,0.09,11.59,-7.89,60.36,60.36,3585.21,209.98000000000002,-54.879999999999995,209.98000000000002,212.02,21.16,2.08,0.37,-54.760000000000005,561.15,360.63,536.7900000000001,34.309999999999995,12.33,38.52,27.81,72.19,25.86,0.8,0.8600000000000001,0.07,4.28,21.25,0.06,1406.1799999999998,1.44,0.09,40.05,1387.3799999999999,9720,748,6503.929999999999,1.92,3.59,2924896,-0.07913669064748198
2542 興富發,2010-09-30,2542,建設,2.89,2.88,2.83,10.7,10.44,29.310000000000002,29.310000000000002,23.34,22.49,68.43,-0.8500000000000001,21.810000000000002,418,5.970000000000001,5.48,0.52,0.62,22.1,22.1,22.1,9.84,3.66,10.96,2.56,2.51,22.1,36.64,34.14,34.14,45.32,43.21,90.98,43.03,43.690000000000005,47.04,59.96,0.93,64.72,46.37,48.51,134.57,8.96,9.16,271.96,73.12,26.88,196.55,24.66,23.77,0.12,16.5,5.51,0.1,866.99,6.05,0.48,43.190000000000005,829.3199999999999,17869,4171,2940.2599999999998,2.15,1.3,35556919,0.1409869083585096
2545 皇翔,2010-09-30,2545,建設,0,0.17,-0.02,0.53,-0.3,18.97,18.97,-10.66,17.03,54.5,27.69,-9.1,120,29.630000000000003,-2.9299999999999997,0.49,5.4,20.43,20.43,20.43,0.5,-2,0.68,-0.07,0.12,20.43,-89.92,-92.78,-92.78,-106.57,-88.47,-90.17999999999999,-89.09,-106.14,12.94,-8.44,-1.08,-57.75,-116.14999999999999,41.96,126.83,8.08,188.99,339.17,77.23,22.77,305.68,-0.72,1.1500000000000001,0.01,0.51,177.9,0.01,12947.59,0.25,0.03,275.08,12850.41,1850,-197,7376.44,3.21,13.23,21564897,0.09253578732106352
2547 日勝生,2010-09-30,2547,建設,3.17,2.95,3.13,7.07,7.05,46.56,46.56,29.62,31.89,91.67999999999999,2.27,32.32,867,16.939999999999998,-3.42,0.92,0,22.77,22.77,22.939999999999998,5.31,-1.01,4.82,1.43,1.55,22.77,107.73,121.95,121.95,153.84,260.82,258.48999999999995,188.73,187.12,24.04,58.08,2.02,31.22,32.64,54.720000000000006,121.16,9.93,9.15,157.57,61.18,38.82,84.55,14.07,15.15,0.08,14.239999999999998,6.39,0.14,642.7700000000001,0.22,0.22,116.2,532.9499999999999,3568,1057,16636.460000000003,1.86,2.45,27479669,-0.1887078438802577
2548 華固,2010-09-30,2548,建設,2.41,2.35,2.36,5.55,5.57,34.59,34.59,26.05,23.9,85.11,-2.15,23.419999999999998,108,8.54,30.259999999999998,0.33,2.3,35.9,35.9,35.9,9.5,11.84,8.23,2.14,1.98,35.9,-30.67,-26.99,-26.99,-33.9,-38.91,-6.13,-39.120000000000005,-38.7,-7.14,18.459999999999997,-1.44,-0.15000000000000002,-29.01,37.809999999999995,192.6,10.42,3.9899999999999998,110.86999999999999,52.58,47.42,66.89,21.5,19.72,0.1,41.93,2.17,0.07,1227.46,201.87,0.24,45.3,1184.33,19866,5175,95.2,2.41,2.7,22488011,-0.05898404701931155
3052 夆典,2010-09-30,3052,建設,1.03,0.94,0.96,3.38,3.3,21.650000000000002,21.650000000000002,11.370000000000001,13.52,33.4,2.15,12.370000000000001,240,10.28,6.34,1.27,6.28,12.99,12.99,12.99,2.01,2.43,3.53,0.4,0.48,12.99,-14.19,-36.41,-36.41,-49.25,-44.879999999999995,-38.94,-40.92,-43.18,53.47,22.32,-0.67,-26.45,-22.419999999999998,59.36,128.17,16,45.04,281.55,73.79,26.21,141.3,3.53,4.1899999999999995,0.07,5.2,17.49,0.08,1087.28,2.69,0.27,59.309999999999995,1045.46,2411,274,900.55,1.23,1.01,2732445,-0.14690026954177896
3056 總太,2010-09-30,3056,建設,0.38,0.23,0.36,0.4,0.48,9.97,9.97,2.84,1.72,-9.38,-1.12,2.02,70,7.13,-38.74,0.74,1.32,11.209999999999999,11.209999999999999,11.209999999999999,-0.17,-4.57,2.66,0.08,0.05,11.19,-28.67,-54.86,-54.86,-65.49000000000001,-78.92,-215.43,-79.16,-75.14999999999999,163.98,104.34,-0.92,1378.8799999999999,131.62,15.29,211.66,71.09,34.78,87.72,46.73,53.27,40.690000000000005,0.76,0.46,0.14,23.72,3.84,0.32999999999999996,278.39,31.05,0.24,20.84,261.38,3405,97,103.97,1.67,3.33,1674828,0.17412333736396632
5522 遠雄,2010-09-30,5522,建設,1.42,2.42,1.25,4.15,2.08,35.87,35.87,25.02,50.4,275.35,25.38,23.610000000000003,280,10.850000000000001,13.629999999999999,0.37,6.54,35.449999999999996,35.449999999999996,35.449999999999996,12.05,2.83,3.07,0.77,1.55,35.45,-60.18,-65.98,-65.98,-71.4,-43.160000000000004,79.7,-46.28,-73.08,-19.46,23.22,-2.03,-70.45,-81.36,20.64,248.45000000000002,29.630000000000003,2.9,61.44,38.06,61.94,27.66,7.67,15.46,0.05,3.63,25.1,0.05,1994.93,0.9400000000000001,0.09,185.55,1834.48,7736,1936,8288.05,2.14,2.12,53685108,-0.16348195329087048
5525 順天,2010-09-30,5525,建設,1.16,0.98,0.99,2.51,2.51,24.39,24.39,18.91,19.02,51.56,0.11,16.12,89,5.48,-5.72,0.34,15.25,14.84,14.84,14.84,1.91,-1.42,2.28,0.43,0.43,14.84,144.54,118.3,118.3,197.76999999999998,126.31,126.86999999999999,118.81,105.88,7.49,10.709999999999999,0.56,-16.82,-8.96,45.48,154.23,7.48,16.03,167.79,62.66,37.34,127.11,4.17,4.2,0.06,1.9,47.879999999999995,0.05,1763.91,1.83,0.16,68.14,1743.6499999999999,5470,1034,2988.8900000000003,1.14,1.32,3618578,0.11512844909609904
5531 鄉林,2010-09-30,5531,建設,0.7,0.7,0.7,1.94,1.94,49.87,49.87,29.04,29.02,29.43,-0.02,29.419999999999998,256,20.84,-7.31,0.63,0,15.03,15.03,15.03,2.25,-2.03,0.98,0.29,0.29,15.03,-69.53,-25.479999999999997,-25.479999999999997,-30.85,-30.09,-29.55,-29.55,-29.919999999999998,17.32,17.52,-0.31,-35.59,-39.120000000000005,-32.55,149.72,17.58,43.58,184.85000000000002,64.89,35.11,139,2.86,2.86,0.02,13.68,6.6499999999999995,0.02,5995.34,7.2,0.07,369.26,5632.74,1563,454,216.18,2.08,4.26,12722355,0.06185567010309277
5533 皇鼎,2010-09-30,5533,建設,5.2,4.94,4.97,13.17,13.17,34.47,34.47,31.9,31.9,30.54,0,30.54,65,2.57,3.13,0.46,4.27,19.939999999999998,19.939999999999998,19.939999999999998,3.4499999999999997,0.67,8.06,2.57,2.57,19.94,27.27,58.63,58.63,68.7,68.24000000000001,-24.84,71.51,71.29,-9.79,17.419999999999998,1.77,271.95,621.14,570.62,182.08,14.88,3.55,113.21000000000001,53.1,46.9,90.69,25.72,25.72,0.16,114.39,0.8,0.12000000000000001,730.07,4.13,0.43,13.15,717.71,24072,7678,6721.89,1.05,1.32,4074609,-0.04621513944223108
5534 長虹,2010-09-30,5534,建設,5.95,5.83,5.84,11.82,11.82,45.74,46.28,41.730000000000004,42.160000000000004,113,0.42000000000000004,41.32,75,4.54,17.419999999999998,0.29,1.96,32.61,32.61,32.61,11.739999999999998,5,8.85,3.69,3.78,32.61,88.82,154.23,157.2,186.18,188.17,214.70999999999998,182.5,182.54,9.9,34.97,3.71,6.819999999999999,-3.18,57.660000000000004,211.92000000000002,29.89,1.96,88.35,46.91,53.09,62.7,36.949999999999996,37.32,0.14,3.82,23.82,0.1,948.09,5.92,0.29,37.13,934.7800000000001,28501,11895,4810.41,2.29,2.63,18157491,-0.1104044772322565
9906 欣巴巴,2010-09-30,9906,建設,1.67,0.32,1.09,-1.3,-1.3,12.49,12.49,5.29,0.6799999999999999,4.21,-4.609999999999999,-0.76,550,7.1899999999999995,-4.159999999999999,0.92,0,0.91,0.91,0.91,-0.37,-0.72,32.24,1.71,0.04,0.91,9.67,516.7,516.7,212.49,107.45,134.07,91.69,91.69,-1.22,-0.76,1.82,11.209999999999999,3.88,-15.27,82.4,27.919999999999998,183.96,666.98,86.96,13.04,458.11,3.3,0.42000000000000004,0.22,1.82,49.949999999999996,0.8300000000000001,109.08,1.06,1.71,78.26,80.77,1055,56,971.52,0.35,0.04,117180,0.045454545454545324
9945 潤泰新,2010-09-30,9945,建設,0.73,0.46,0.63,0.86,0.76,16.9,16.9,2.66,3.4499999999999997,16.97,0.7899999999999999,2.72,2210,14.239999999999998,5.64,0.32,10.91,14.41,14.41,14.41,0.96,0.71,5.07,0.13,0.17,14.41,-1.26,-7.94,-7.94,-9.950000000000001,-3.67,78.35,24.6,10.44,11.19,18.01,0.12,12.78,550.52,22.1,150.33,43.4,22.67,113.47,53.16,46.84,71.26,1.34,1.74,0.13,3.25,27.979999999999997,0.35,258.41999999999996,0.6799999999999999,0.28,87.76,198.65,1729,46,2469.96,2.89,2.68,39712331,-0.058131939908556536
2363 矽統,2010-09-30,2363,IC設計,1.64,1.32,1.43,1.41,1.27,42.52,42.52,3.8699999999999997,23.54,31.08,19.67,18.85,551,38.65,32.06,6.38,11.22,16.77,16.77,16.77,0.43000000000000005,0.19,1.16,0.04,0.27,16.77,-39.63,-35.61,-35.61,-88.02,-42.18,-50.17,-37.56,-31.19,-7.06,-4.7700000000000005,-0.76,-14.26,-45.1,205.29,1236.4,1134.45,0.25,3.66,3.53,96.47,0.09,0.44,2.67,0.06,1.35,67.61,1.95,46.74,0.8200000000000001,0.07,60.730000000000004,53.620000000000005,1467,57,1771.6,1.2,4.47,14347862,-0.11371400683260119
